district,state,censuscode,centroid_lat,centroid_lon
Jammu,Jammu & Kashmir,21,32.76252,74.78837
Jamnagar,Gujarat,477,22.25218,69.91356
Jamtara,Jharkhand,363,23.97691,86.91723
Jamui,Bihar,238,24.7838,86.29521
Janjgir-champa,Chhattisgarh,405,21.92623,82.73793
Jashpur,Chhattisgarh,402,22.80043,83.86636
Jaunpur,Uttar Pradesh,194,25.746,82.57591
Jhabua,Madhya Pradesh,464,22.89059,74.67181
Jhajjar,Haryana,83,28.60475,76.64941
Jhalawar,Rajasthan,129,24.32886,76.19677
Jhansi,Uttar Pradesh,166,25.50545,78.95398
Jharsuguda,Odisha,371,21.80599,83.95473
Jhunjhunun,Rajasthan,103,28.09191,75.55241
Jodhpur,Rajasthan,113,26.75083,72.78803
Jorhat,Assam,312,26.79396,94.25655
Junagadh,Gujarat,479,21.22148,70.55399
Jyotiba Phule Nagar,Uttar Pradesh,137,28.81355,78.32936
Kachchh,Gujarat,468,23.6284,69.95996
Kaimur (bhabua),Bihar,233,24.99113,83.60667
Kaithal,Haryana,73,29.81402,76.41823
Kalahandi,Odisha,395,19.8677,83.10923
Kamrup,Assam,321,26.11801,91.40615
Kamrup Metropolitan,Assam,322,26.09003,91.8216
Kancheepuram,Tamil Nadu,604,12.69516,79.94787
Kandhamal,Odisha,390,20.1289,84.04724
Kangra,Himachal Pradesh,24,32.10875,76.31769
Uttar Bastar Kanker,Chhattisgarh,413,20.14772,81.12919
Kannauj,Uttar Pradesh,160,27.01197,79.68794
Kanniyakumari,Tamil Nadu,629,8.30694,77.36143
Kannur,Kerala,589,12.00063,75.52624
Kanpur Dehat,Uttar Pradesh,163,26.44478,79.85713
Kanpur Nagar,Uttar Pradesh,164,26.38052,80.21578
Kansiram Nagar,Uttar Pradesh,202,27.77722,78.84537
Kapurthala,Punjab,36,31.35406,75.40307
Karbi Anglong,Assam,314,26.06545,93.14871
Kargil,Jammu & Kashmir,4,33.9666,76.48445
Karimganj,Assam,317,24.5813,92.37746
